"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31696","@smoke @regression Overview tab loads with org name and metrics","webkit","2026-08-28","broken","2026-08-28","Organization settings - Overview","ui/organization-settings/overview.spec.ts","",""
"","32496","@smoke @regression Dashboard shows welcome message","webkit","2026-08-28","broken","2026-08-28","Dashboard","ui/dashboard.spec.ts","",""
"","31971","@smoke @regression New button is visible on dashboard","webkit","2026-08-28","broken","2026-08-28","App shell","ui/app-shell.spec.ts","",""
"","31292","@regression @smoke Upload file, verify in All assets, then delete","chromium-unauth","2026-08-28","broken","2026-08-28","File upload and delete","ui/file-upload.spec.ts","",""
"","30150","@smoke @regression Download links tab loads","firefox","2026-08-28","broken","2026-08-28","Organization settings - Download links","ui/organization-settings/download-links.spec.ts","",""
"","31041","@smoke @regression Teams tab loads","chromium","2026-08-28","broken","2026-08-28","Organization settings - Teams","ui/organization-settings/teams.spec.ts","",""
"","30193","@smoke @regression Overview tab loads with org name and metrics","firefox","2026-08-28","broken","2026-08-28","Organization settings - Overview","ui/organization-settings/overview.spec.ts","",""
"","31298","@regression @smoke New menu shows all expected options","chromium","2026-08-28","broken","2026-08-28","New menu","ui/new-menu.spec.ts","",""
"","30151","@smoke @regression Organization settings tabs open correctly and titles exist","firefox","2026-08-28","broken","2026-08-28","Organization settings","ui/organization-settings/organization-settings.spec.ts","",""
"","30145","@smoke @regression Roles tab loads","firefox","2026-08-28","broken","2026-08-28","Organization settings - Roles","ui/organization-settings/roles.spec.ts","",""
"","31692","@smoke @regression Teams tab loads","webkit","2026-08-28","broken","2026-08-28","Organization settings - Teams","ui/organization-settings/teams.spec.ts","",""
"","31610","@smoke @regression Roles tab loads","webkit","2026-08-28","broken","2026-08-28","Organization settings - Roles","ui/organization-settings/roles.spec.ts","",""
"","31597","@regression @smoke New Collection opens modal","webkit","2026-08-28","broken","2026-08-28","Create actions","ui/create-actions.spec.ts","",""
"","31514","@smoke @regression Session persists after navigation","chromium","2026-08-28","broken","2026-08-28","App shell","ui/app-shell.spec.ts","",""
"","31155","@smoke @regression Collections page loads","chromium","2026-08-28","broken","2026-08-28","Collections","ui/collections.spec.ts","",""
"","31625","@smoke @regression Shareable links tab loads","webkit","2026-08-28","broken","2026-08-28","Organization settings - Shareable links","ui/organization-settings/shareable-links.spec.ts","",""
"","32066","@smoke @regression Session persists after navigation","webkit","2026-08-28","broken","2026-08-28","App shell","ui/app-shell.spec.ts","",""
"","31399","@smoke @regression All assets page loads","chromium","2026-08-28","broken","2026-08-28","All assets","ui/all-assets.spec.ts","",""
"","31257","@smoke @regression New button is visible on dashboard","chromium","2026-08-28","broken","2026-08-28","App shell","ui/app-shell.spec.ts","",""
"","31688","@smoke @regression Download links tab loads","webkit","2026-08-28","broken","2026-08-28","Organization settings - Download links","ui/organization-settings/download-links.spec.ts","",""
"","32171","@regression New menu closes on Escape","webkit","2026-08-28","broken","2026-08-28","Create actions","ui/create-actions.spec.ts","",""
"","3683","@regression @auth Login with invalid credentials shows error","chromium-unauth","2026-08-28","passed","2026-08-28","Login > Authentication flow","ui/login.spec.ts","",""
"","30169","@regression @smoke New Collection opens modal","firefox","2026-08-28","broken","2026-08-28","Create actions","ui/create-actions.spec.ts","",""
"","31570","@regression New menu closes on Escape","chromium","2026-08-28","broken","2026-08-28","Create actions","ui/create-actions.spec.ts","",""
"","31197","@smoke @regression Favorites page loads","chromium","2026-08-28","broken","2026-08-28","My favorites","ui/favorites.spec.ts","",""
"","31922","@regression @smoke Create Folder opens modal","webkit","2026-08-28","broken","2026-08-28","Create actions","ui/create-actions.spec.ts","",""
"","31778","@smoke @regression Left menu has all expected items: Dashboard, All assets, My favorites, Collections, Recently deleted","webkit","2026-08-28","broken","2026-08-28","Dashboard","ui/dashboard.spec.ts","",""
"","30179","@smoke @regression New button is visible on All assets page","firefox","2026-08-28","broken","2026-08-28","App shell","ui/app-shell.spec.ts","",""
"","818","@regression @auth Login with empty credentials shows validation","chromium-unauth","2026-08-28","passed","2026-08-28","Login > Form validation","ui/login.spec.ts","",""
"","30151","@smoke @regression New button is visible on dashboard","firefox","2026-08-28","broken","2026-08-28","App shell","ui/app-shell.spec.ts","",""
"","31094","@smoke @regression Left menu has all expected items: Dashboard, All assets, My favorites, Collections, Recently deleted","chromium","2026-08-28","broken","2026-08-28","Dashboard","ui/dashboard.spec.ts","",""
"","31575","@regression @smoke New menu shows all expected options","webkit","2026-08-28","broken","2026-08-28","New menu","ui/new-menu.spec.ts","",""
"","30154","@smoke @regression Collections page loads","firefox","2026-08-28","broken","2026-08-28","Collections","ui/collections.spec.ts","",""
"","482","@regression @auth Login page loads successfully","chromium-unauth","2026-08-28","passed","2026-08-28","Login > Authentication flow","ui/login.spec.ts","",""
"","31669","@smoke @regression Favorites page loads","webkit","2026-08-28","broken","2026-08-28","My favorites","ui/favorites.spec.ts","",""
"","31425","@smoke @regression New button is visible on All assets page","chromium","2026-08-28","broken","2026-08-28","App shell","ui/app-shell.spec.ts","",""
"","31170","@smoke @regression Recently deleted page loads","chromium","2026-08-28","broken","2026-08-28","Recently deleted","ui/recently-deleted.spec.ts","",""
"","31140","@smoke @regression Shareable links tab loads","chromium","2026-08-28","broken","2026-08-28","Organization settings - Shareable links","ui/organization-settings/shareable-links.spec.ts","",""
"","30145","@smoke @regression Recently deleted page loads","firefox","2026-08-28","broken","2026-08-28","Recently deleted","ui/recently-deleted.spec.ts","",""
"","30152","@smoke @regression Favorites page loads","firefox","2026-08-28","broken","2026-08-28","My favorites","ui/favorites.spec.ts","",""
"","31151","@smoke @regression Tags tab loads","chromium","2026-08-28","broken","2026-08-28","Organization settings - Tags","ui/organization-settings/tags.spec.ts","",""
"","30179","@smoke @regression Teams tab loads","firefox","2026-08-28","broken","2026-08-28","Organization settings - Teams","ui/organization-settings/teams.spec.ts","",""
"","30196","@regression @smoke Create Folder opens modal","firefox","2026-08-28","broken","2026-08-28","Create actions","ui/create-actions.spec.ts","",""
"","31278","@smoke @regression Members tab loads","chromium","2026-08-28","broken","2026-08-28","Organization settings - Members","ui/organization-settings/members.spec.ts","",""
"","30166","@smoke @regression All assets page loads","firefox","2026-08-28","broken","2026-08-28","All assets","ui/all-assets.spec.ts","",""
"","31226","@smoke @regression Organization settings tabs open correctly and titles exist","chromium","2026-08-28","broken","2026-08-28","Organization settings","ui/organization-settings/organization-settings.spec.ts","",""
"","31115","@regression @smoke New Collection opens modal","chromium","2026-08-28","broken","2026-08-28","Create actions","ui/create-actions.spec.ts","",""
"","31135","@smoke @regression Overview tab loads with org name and metrics","chromium","2026-08-28","broken","2026-08-28","Organization settings - Overview","ui/organization-settings/overview.spec.ts","",""
